Body length / µm, Eye area / µm^2,Swim bladder area / µm^2, Yolc sac area / µm^2,hpf,replicate,temperature
3862.17,84149.56,22306.72,242930.47,119,1,26
3819.96,82495.84,19273.34,251050.45,119,1,26
3872.54,91126.8,33009.48,272390.95,119,1,26
3742.2,77915.57,21605.28,259319.08,119,1,26
3927.08,53462.73,22878.09,294981.03,119,1,26
3794.59,91136.09,23491.27,236585,119,1,26
3607.88,67347.52,0,266314.9,119,1,26
3450.17,68690.01,0,203491.9,119,1,26
3714.42,79727.24,18497.57,306324.85,119,1,26
3950.66,80075.64,13689.69,311653,119,1,26
4046.78,89593.85,21373.01,293053.23,119,1,26
3787.8,80637.72,17155.08,243408.94,119,1,26
3789.8,77395.3,0,244170.77,119,1,26
3895.39,76833.22,18297.83,240315.17,119,1,26
3745.64,81752.59,23166.1,242131.48,119,1,26
3920.4,76275.78,30886.58,231526.27,119,2,26
3914.06,86165.62,23974.38,213641.87,119,2,26
3818.67,76182.88,23491.27,234773.33,119,2,26
3665.23,57309.03,16569.78,257423.8,119,2,26
3871.38,72085.73,35866.34,239650.89,119,2,26
3927.14,78370.81,32173.33,235423.67,119,2,26
3719.93,66873.7,49319.12,235734.91,119,2,26
3841.52,70710.72,16267.83,231944.35,119,2,26
3690.51,68634.27,23677.08,208703.92,119,2,26
3774.28,66822.6,25498.04,239595.15,119,2,26
3705.21,53151.49,18497.57,248652.48,119,2,26
3906.3,83592.13,61336.51,265766.76,119,2,26
3786.81,59506.26,19914.39,231591.3,119,2,26
3861.31,75142.33,0,235228.57,119,2,26
3868.68,72471.29,12834.96,285634.69,119,2,26
3693.72,58944.18,26729.04,238405.95,119,2,26
3960.84,83471.35,27969.34,256931.4,119,2,26
3591.45,68968.73,19779.68,217265.21,119,2,26
3636.56,59961.5,19333.73,227782.16,119,2,26
3797.05,52705.54,16439.71,265223.26,119,2,26
3819.92,71286.73,24141.61,226825.23,119,2,26
3780.37,66190.84,17424.51,235637.36,119,2,26
3923.85,59408.71,23282.23,288166.38,119,3,26
3856.04,72921.88,10047.78,252402.24,119,3,26
3957.53,88794.86,48088.12,218366.14,119,3,26
3699.01,68773.63,15589.62,226184.18,119,3,26
3647.21,75063.36,28912.33,220502.98,119,3,26
3759.54,69958.18,25028.86,225826.49,119,3,26
3709.75,76717.09,14353.97,269942.88,119,3,26
3869.62,65809.93,24197.35,240491.69,119,3,26
3815.26,76066.75,23245.07,254218.55,119,3,26
3660.61,53072.52,20615.83,250033.13,119,3,26
3681.8,55748.21,30124.75,238842.61,119,3,26
3809.37,67449.72,11292.72,299003.86,119,3,26
3852.62,68973.38,13243.74,238364.15,119,3,26
3640.41,63264.31,15492.07,245150.93,119,3,26
3879.65,72986.91,65735.6,225348.02,119,3,26
3898.54,55478.79,0,319522.14,119,3,26
3858.02,76675.28,66567.11,198549.3,119,3,26
3952.42,76684.57,12593.4,275498.65,119,3,26
3934.85,76559.15,54238.49,218553.21,119,3,26
3917.01,92483.23,11473.88,268363.48,119,3,26
3977.05,89324.42,23495.91,244514.52,119,1,28
3904.95,95818.55,25196.09,223345.9,119,1,28
3975.92,81343.8,27560.55,217274.5,119,1,28
4044.14,90225.61,23681.73,243218.48,119,1,28
3938.28,75207.37,19389.47,228488.24,119,1,28
3962.16,83629.29,80916.44,231451.94,119,1,28
3966.93,83494.58,28698.65,223824.37,119,1,28
3817.15,90704.08,25372.61,212889.34,119,1,28
3980.86,83643.23,24759.44,249503.57,119,1,28
3824.34,90295.29,23477.33,249415.31,119,1,28
3796.09,81227.67,30078.3,256912.82,119,1,28
3925.11,80080.28,60802.3,196240.59,119,1,28
